0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.870414,-0.859219,-0.911591,-0.851390,-0.800142,0.066048,0.408406,-0.840745,-0.940812,-0.906778,-0.372655,-0.326888,-0.699540,-0.675482,-0.493011,-0.743899,-0.942038,-0.895553,-0.850834,-0.853810,-0.855989,-0.789634,-0.822034,-0.742783,-0.730762,-0.789498,-0.174279,-0.968034,-0.857996,-0.693696,-0.601356,-0.732133
-0.825677,-0.822835,-0.816787,-0.800549,-0.785511,0.056613,0.104349,-0.814688,-0.932634,-0.867924,-0.365700,-0.315216,-0.676231,-0.666338,-0.471919,-0.738066,-0.877608,-0.824704,-0.732447,-0.785650,-0.815004,-0.770268,-0.780578,-0.742245,-0.646526,-0.771057,-0.169329,-0.899990,-0.825518,-0.693513,-0.593922,-0.697486
-0.874892,-0.827782,-0.900423,-0.843297,-0.767784,0.058627,0.113257,-0.839611,-0.952368,-0.907479,-0.376721,-0.324982,-0.702883,-0.674778,-0.490070,-0.738811,-0.912210,-0.882871,-0.878489,-0.878349,-0.875334,-0.788196,-0.834831,-0.774342,-0.811843,-0.802332,-0.175140,-0.978494,-0.850239,-0.693696,-0.583419,-0.699473
-0.862252,-0.826717,-0.889868,-0.834316,-0.796809,0.056511,0.119394,-0.834493,-0.955220,-0.912644,-0.378084,-0.327237,-0.711932,-0.674315,-0.495503,-0.738055,-0.948677,-0.886868,-0.861764,-0.864899,-0.847504,-0.778929,-0.831351,-0.754104,-0.841356,-0.803948,-0.175450,-0.986751,-0.866922,-0.691446,-0.596548,-0.717335
-0.839763,-0.809901,-0.878270,-0.805264,-0.780784,0.025741,0.127158,-0.830137,-0.922724,-0.886634,-0.373769,-0.317950,-0.708399,-0.664539,-0.493656,-0.732075,-0.900401,-0.870963,-0.836840,-0.850060,-0.881760,-0.782329,-0.815156,-0.752316,-0.864000,-0.780132,-0.169087,-0.959935,-0.865692,-0.692568,-0.597274,-0.709054
-0.873709,-0.842828,-0.902667,-0.864942,-0.820470,-0.004812,0.148412,-0.838444,-0.967277,-0.866756,-0.372760,-0.326877,-0.706419,-0.673756,-0.491221,-0.740636,-0.995923,-0.947339,-0.922421,-0.895359,-0.964166,-0.847468,-0.858707,-0.804369,-0.887232,-0.789783,-0.173444,-0.982941,-0.866981,-0.694369,-0.592533,-0.709342
-0.899942,-0.842704,-0.915545,-0.870020,-0.825702,0.012472,0.151185,-0.833000,-0.973042,-0.884077,-0.363997,-0.327446,-0.711589,-0.666905,-0.503475,-0.744848,-1.013677,-0.938782,-0.932414,-0.908463,-0.963062,-0.858931,-0.848081,-0.806906,-0.868377,-0.794445,-0.173083,-0.991603,-0.881067,-0.700479,-0.610506,-0.719909
-0.874102,-0.829860,-0.860926,-0.831734,-0.782859,-0.342439,0.163071,-0.768170,-0.916915,-0.867707,-0.382260,-0.320379,-0.704878,-0.663716,-0.508389,-0.745688,-0.988280,-0.919799,-0.917872,-0.886886,-0.909990,-0.784297,-0.778797,-0.786100,-0.743550,-0.768596,-0.169101,-0.956040,-0.877592,-0.673193,-0.591916,-0.720104
-0.883216,-0.839843,-0.904989,-0.869135,-0.815219,-0.326023,0.166208,-0.859611,-0.968933,-0.876113,-0.386363,-0.328665,-0.714914,-0.662027,-0.508767,-0.745553,-1.020414,-0.937747,-0.927002,-0.902903,-0.955500,-0.873849,-0.861839,-0.794063,-0.862884,-0.807815,-0.174575,-0.995086,-0.878754,-0.700413,-0.607742,-0.711101
-0.816374,-0.767422,-0.802916,-0.816546,-0.754452,-0.333208,0.175493,-0.867241,-0.940812,-0.859836,-0.375719,-0.325753,-0.691628,-0.649314,-0.466665,-0.729942,-0.915067,-0.832305,-0.859446,-0.799903,-0.900950,-0.726825,-0.819539,-0.755325,-0.886595,-0.755848,-0.172418,-0.970769,-0.830818,-0.696185,-0.594528,-0.712977
-0.944906,-0.875937,-0.952846,-0.910581,-0.826610,-0.345298,0.159162,-0.877995,-0.972467,-0.859134,-0.415005,-0.330278,-0.720987,-0.666235,-0.511225,-0.760002,-1.056826,-0.928951,-0.952154,-0.925566,-0.939564,-0.910701,-0.894835,-0.817826,-0.880572,-0.801164,-0.175655,-1.012079,-0.893567,-0.708162,-0.617114,-0.728411
-0.938434,-0.852214,-0.875553,-0.886261,-0.818764,-0.342582,0.160603,-0.833004,-0.948427,-0.868407,-0.404518,-0.321168,-0.700366,-0.660484,-0.501375,-0.744300,-0.980431,-0.908987,-0.886734,-0.887290,-0.866770,-0.845680,-0.842228,-0.763469,-0.902938,-0.801999,-0.172301,-0.960736,-0.849369,-0.715543,-0.607571,-0.724760
-0.911438,-0.842048,-0.915071,-0.857705,-0.823647,-0.342001,0.159776,-0.878660,-0.947774,-0.904329,-0.423815,-0.321354,-0.720683,-0.659983,-0.490326,-0.747456,-1.007544,-0.911916,-0.916174,-0.898264,-0.932305,-0.804871,-0.846352,-0.807229,-0.968404,-0.846921,-0.173709,-0.998939,-0.873967,-0.715993,-0.621774,-0.733634
-0.943328,-0.824043,-0.898202,-0.899799,-0.815089,-0.346395,0.164952,-0.893287,-0.987105,-0.919721,-0.431167,-0.328499,-0.719011,-0.662353,-0.498814,-0.755413,-1.023887,-0.922882,-0.931296,-0.898830,-0.941141,-0.864806,-0.879793,-0.820424,-0.964177,-0.856721,-0.177784,-1.026388,-0.898790,-0.707370,-0.622869,-0.743680
-0.969956,-0.895581,-0.991280,-0.909652,-0.862853,-0.355372,0.162024,-0.893410,-0.979187,-0.907152,-0.427316,-0.331429,-0.729452,-0.666467,-0.498103,-0.754105,-1.022269,-0.940463,-0.947398,-0.949704,-0.936686,-0.828949,-0.875296,-0.852159,-0.979952,-0.844240,-0.176789,-1.017390,-0.898788,-0.716825,-0.629498,-0.741856
